Fig  3e,,,,"Note from author: 1. The blank cells indicate  the calculated NO2 binding energy was not exothermic under the corresponding {pH,potential}, implying no adsorption; thus, no value is reported and leave with blank.",
Model Data,,,,,2. Reader may find certain potential-pH ranges are duplicated; This is because NO2 binding was calculated separately on both TTM and CuNP for streamlined data analysis and visualization. Further details are provided in the Python code.
pH value,Potential of TTM (V vs. RHE),NO2 binding energy of TTM (kJ mol-1),NO2 binding energy of CuNP (kJ mol-1),,
8.2,-2.8,-12.8424,,,
8.3,-2.8,-13.4164,,,
8.4,-2.8,-13.9904,,,
8.5,-2.8,-14.5643,,,
8.6,-2.8,-15.1383,,,
8.7,-2.8,-15.7123,,,
8.8,-2.8,-16.2862,,,
8.9,-2.8,-16.8602,,,
9.0,-2.8,-17.4342,,,
9.1,-2.8,-18.0081,,,
9.2,-2.8,-18.5821,,,
9.3,-2.8,-19.1561,,,
9.4,-2.8,-19.73,,,
9.5,-2.8,-20.304,,,
9.6,-2.8,-20.878,,,
9.7,-2.8,-21.4519,,,
9.8,-2.8,-22.0259,,,
9.9,-2.8,-22.5999,,,
10.0,-2.8,-23.1739,,,
10.1,-2.8,-23.7478,,,
10.2,-2.8,-24.3218,,,
10.3,-2.8,-24.8958,,,
10.4,-2.8,-25.4697,,,
10.5,-2.8,-26.0437,,,
10.6,-2.8,-26.6177,,,
10.7,-2.8,-27.1916,,,
10.8,-2.8,-27.7656,,,
10.9,-2.8,-28.3396,,,
11.0,-2.8,-28.9135,,,
11.1,-2.8,-29.4875,,,
11.2,-2.8,-30.0615,,,
11.3,-2.8,-30.6354,,,
11.4,-2.8,-31.2094,,,
11.5,-2.8,-31.7834,,,
11.6,-2.8,-32.3573,,,
11.7,-2.8,-32.9313,,,
11.8,-2.8,-33.5053,,,
11.9,-2.8,-34.0792,,,
12.0,-2.8,-34.6532,,,
6.0,-2.8,-0.21516,,,
6.1,-2.8,-0.78913,,,
6.2,-2.8,-1.36309,,,
6.3,-2.8,-1.93706,,,
6.4,-2.8,-2.51103,,,
6.5,-2.8,-3.085,,,
6.6,-2.8,-3.65896,,,
6.7,-2.8,-4.23293,,,
6.8,-2.8,-4.8069,,,
6.9,-2.8,-5.38087,,,
7.0,-2.8,-5.95483,,,
7.1,-2.8,-6.5288,,,
7.2,-2.8,-7.10277,,,
7.3,-2.8,-7.67673,,,
7.4,-2.8,-8.2507,,,
7.5,-2.8,-8.82467,,,
7.6,-2.75,-9.39864,,,
7.7,-2.75,-9.9726,,,
7.8,-2.75,-10.5466,,,
7.9,-2.75,-11.1205,,,
8.0,-2.75,-11.6945,,,
8.1,-2.75,-12.2685,,,
8.2,-2.75,-12.8424,,,
8.3,-2.75,-13.4164,,,
8.4,-2.75,-13.9904,,,
8.5,-2.75,-14.5643,,,
8.6,-2.75,-15.1383,,,
8.7,-2.75,-15.7123,,,
8.8,-2.75,-16.2862,,,
8.9,-2.75,-16.8602,,,
9.0,-2.75,-17.4342,,,
9.1,-2.75,-18.0081,,,
9.2,-2.75,-18.5821,,,
9.3,-2.75,-19.1561,,,
9.4,-2.75,-19.73,,,
9.5,-2.75,-20.304,,,
9.6,-2.75,-20.878,,,
9.7,-2.75,-21.4519,,,
9.8,-2.75,-22.0259,,,
9.9,-2.75,-22.5999,,,
10.0,-2.75,-23.1739,,,
10.1,-2.75,-23.7478,,,
10.2,-2.75,-24.3218,,,
10.3,-2.75,-24.8958,,,
10.4,-2.75,-25.4697,,,
10.5,-2.75,-26.0437,,,
10.6,-2.75,-26.6177,,,
10.7,-2.75,-27.1916,,,
10.8,-2.75,-27.7656,,,
10.9,-2.75,-28.3396,,,
11.0,-2.75,-28.9135,,,
11.1,-2.75,-29.4875,,,
11.2,-2.75,-30.0615,,,
11.3,-2.75,-30.6354,,,
11.4,-2.75,-31.2094,,,
11.5,-2.75,-31.7834,,,
11.6,-2.75,-32.3573,,,
11.7,-2.75,-32.9313,,,
11.8,-2.75,-33.5053,,,
11.9,-2.75,-34.0792,,,
12.0,-2.75,-34.6532,,,
6.0,-2.75,-0.21516,,,
6.1,-2.75,-0.78913,,,
6.2,-2.75,-1.36309,,,
6.3,-2.75,-1.93706,,,
6.4,-2.75,-2.51103,,,
6.5,-2.75,-3.085,,,
6.6,-2.75,-3.65896,,,
6.7,-2.75,-4.23293,,,
6.8,-2.75,-4.8069,,,
6.9,-2.75,-5.38087,,,
7.0,-2.75,-5.95483,,,
7.1,-2.75,-6.5288,,,
7.2,-2.75,-7.10277,,,
7.3,-2.75,-7.67673,,,
7.4,-2.75,-8.2507,,,
7.5,-2.75,-8.82467,,,
7.6,-2.75,-9.39864,,,
7.7,-2.75,-9.9726,,,
7.8,-2.75,-10.5466,,,
7.9,-2.75,-11.1205,,,
8.0,-2.75,-11.6945,,,
8.1,-2.75,-12.2685,,,
8.2,-2.75,-12.8424,,,
8.3,-2.75,-13.4164,,,
8.4,-2.75,-13.9904,,,
8.5,-2.75,-14.5643,,,
8.6,-2.75,-15.1383,,,
8.7,-2.7,-15.7123,,,
8.8,-2.7,-16.2862,,,
8.9,-2.7,-16.8602,,,
9.0,-2.7,-17.4342,,,
9.1,-2.7,-18.0081,,,
9.2,-2.7,-18.5821,,,
9.3,-2.7,-19.1561,,,
9.4,-2.7,-19.73,,,
9.5,-2.7,-20.304,,,
