Fig  3d,,,"Note from author: The {pH,potential} ranges are included only when the calculated NO2 binding energy is exothermic (favorable for adsorption)."
Model Data,,,
pH value,Potential of CuNP  (V vs. RHE),NO2 binding energy of CuNP (kJ mol-1),
7.1,0.15,-31.882,
7.2,0.15,-32.456,
7.3,0.15,-33.03,
7.4,0.15,-33.6039,
7.5,0.15,-34.1779,
7.6,0.15,-34.7519,
7.7,0.15,-35.3259,
7.8,0.15,-35.8998,
7.9,0.15,-36.4738,
8,0.15,-37.0478,
8.1,0.15,-37.6217,
8.2,0.15,-38.1957,
8.3,0.15,-38.7697,
8.4,0.15,-39.3436,
8.5,0.15,-39.9176,
8.6,0.15,-40.4916,
8.7,0.15,-41.0655,
8.8,0.15,-41.6395,
8.9,0.15,-42.2135,
9,0.15,-42.7874,
9.1,0.15,-43.3614,
9.2,0.15,-43.9354,
9.3,0.15,-44.5093,
9.4,0.15,-45.0833,
9.5,0.15,-45.6573,
9.6,0.15,-46.2312,
9.7,0.15,-46.8052,
9.8,0.15,-47.3792,
9.9,0.15,-47.9531,
10,0.15,-48.5271,
10.1,0.15,-49.1011,
10.2,0.15,-49.675,
10.3,0.15,-50.249,
10.4,0.15,-50.823,
10.5,0.15,-51.3969,
10.6,0.15,-51.9709,
10.7,0.15,-52.5449,
10.8,0.15,-53.1188,
10.9,0.15,-53.6928,
11,0.15,-54.2668,
11.1,0.15,-54.8407,
11.2,0.15,-55.4147,
11.3,0.15,-55.9887,
11.4,0.15,-56.5626,
11.5,0.15,-57.1366,
11.6,0.15,-57.7106,
11.7,0.15,-58.2845,
11.8,0.15,-58.8585,
11.9,0.15,-59.4325,
12,0.15,-60.0064,
4.9,0.2,-22.9435,
5,0.2,-23.5174,
5.1,0.2,-24.0914,
5.2,0.2,-24.6654,
5.3,0.2,-25.2393,
5.4,0.2,-25.8133,
5.5,0.2,-26.3873,
5.6,0.2,-26.9612,
5.7,0.2,-27.5352,
5.8,0.2,-28.1092,
5.9,0.2,-28.6831,
6,0.2,-29.2571,
6.1,0.2,-29.8311,
6.2,0.2,-30.405,
6.3,0.2,-30.979,
6.4,0.2,-31.553,
6.5,0.2,-32.1269,
6.6,0.2,-32.7009,
6.7,0.2,-33.2749,
6.8,0.2,-33.8488,
6.9,0.2,-34.4228,
7,0.2,-34.9968,
7.1,0.2,-35.5707,
7.2,0.2,-36.1447,
7.3,0.2,-36.7187,
7.4,0.2,-37.2926,
7.5,0.2,-37.8666,
7.6,0.2,-38.4406,
7.7,0.2,-39.0145,
7.8,0.2,-39.5885,
7.9,0.2,-40.1625,
8,0.2,-40.7365,
8.1,0.2,-41.3104,
8.2,0.2,-41.8844,
8.3,0.2,-42.4584,
8.4,0.2,-43.0323,
8.5,0.2,-43.6063,
8.6,0.2,-44.1803,
8.7,0.2,-44.7542,
8.8,0.2,-45.3282,
8.9,0.2,-45.9022,
9,0.2,-46.4761,
9.1,0.2,-47.0501,
9.2,0.2,-47.6241,
9.3,0.2,-48.198,
9.4,0.2,-48.772,
9.5,0.2,-49.346,
9.6,0.2,-49.9199,
9.7,0.2,-50.4939,
9.8,0.2,-51.0679,
9.9,0.2,-51.6418,
10,0.2,-52.2158,
10.1,0.2,-52.7898,
10.2,0.2,-53.3637,
10.3,0.2,-53.9377,
10.4,0.2,-54.5117,
10.5,0.2,-55.0856,
10.6,0.2,-55.6596,
10.7,0.2,-56.2336,
10.8,0.2,-56.8075,
10.9,0.2,-57.3815,
11,0.2,-57.9555,
11.1,0.2,-58.5294,
11.2,0.2,-59.1034,
11.3,0.2,-59.6774,
11.4,0.2,-60.2513,
11.5,0.2,-60.8253,
11.6,0.2,-61.3993,
11.7,0.2,-61.9732,
11.8,0.2,-62.5472,
11.9,0.2,-63.1212,
12,0.2,-63.6951,
4.9,0.25,-26.6322,
5,0.25,-27.2061,
5.1,0.25,-27.7801,
5.2,0.25,-28.3541,
5.3,0.25,-28.928,
5.4,0.25,-29.502,
5.5,0.25,-30.076,
5.6,0.25,-30.6499,
5.7,0.25,-31.2239,
5.8,0.25,-31.7979,
5.9,0.25,-32.3718,
6,0.25,-32.9458,
6.1,0.25,-33.5198,
6.2,0.25,-34.0937,
6.3,0.25,-34.6677,
6.4,0.25,-35.2417,
6.5,0.25,-35.8156,
6.6,0.25,-36.3896,
6.7,0.25,-36.9636,
6.8,0.25,-37.5375,
6.9,0.25,-38.1115,
7,0.25,-38.6855,
7.1,0.25,-39.2594,
7.2,0.25,-39.8334,
7.3,0.25,-40.4074,
7.4,0.25,-40.9813,
7.5,0.25,-41.5553,
7.6,0.25,-42.1293,
7.7,0.25,-42.7032,
7.8,0.25,-43.2772,
7.9,0.25,-43.8512,
8,0.25,-44.4251,
8.1,0.25,-44.9991,
8.2,0.25,-45.5731,
8.3,0.25,-46.1471,
8.4,0.25,-46.721,
8.5,0.25,-47.295,
8.6,0.25,-47.869,
8.7,0.25,-48.4429,
8.8,0.25,-49.0169,
8.9,0.25,-49.5909,
9,0.25,-50.1648,
9.1,0.25,-50.7388,
9.2,0.25,-51.3128,
9.3,0.25,-51.8867,
9.4,0.25,-52.4607,
9.5,0.25,-53.0347,
9.6,0.25,-53.6086,
9.7,0.25,-54.1826,
9.8,0.25,-54.7566,
9.9,0.25,-55.3305,
10,0.25,-55.9045,
10.1,0.25,-56.4785,
10.2,0.25,-57.0524,
10.3,0.25,-57.6264,
10.4,0.25,-58.2004,
10.5,0.25,-58.7743,
10.6,0.25,-59.3483,
10.7,0.25,-59.9223,
10.8,0.25,-60.4962,
10.9,0.25,-61.0702,
11,0.25,-61.6442,
11.1,0.25,-62.2181,
11.2,0.25,-62.7921,
11.3,0.25,-63.3661,
11.4,0.25,-63.94,
11.5,0.25,-64.514,
11.6,0.25,-65.088,
11.7,0.25,-65.6619,
11.8,0.25,-66.2359,
11.9,0.25,-66.8099,
12,0.25,-67.3838,
4.9,0.3,-30.3209,
5,0.3,-30.8948,
5.1,0.3,-31.4688,
5.2,0.3,-32.0428,
5.3,0.3,-32.6167,
5.4,0.3,-33.1907,
5.5,0.3,-33.7647,
5.6,0.3,-34.3386,
5.7,0.3,-34.9126,
5.8,0.3,-35.4866,
5.9,0.3,-36.0605,
6,0.3,-36.6345,
6.1,0.3,-37.2085,
6.2,0.3,-37.7824,
6.3,0.3,-38.3564,
6.4,0.3,-38.9304,
6.5,0.3,-39.5043,
6.6,0.3,-40.0783,
6.7,0.3,-40.6523,
6.8,0.3,-41.2262,
6.9,0.3,-41.8002,
7,0.3,-42.3742,
7.1,0.3,-42.9481,
7.2,0.3,-43.5221,
7.3,0.3,-44.0961,
7.4,0.3,-44.67,
7.5,0.3,-45.244,
7.6,0.3,-45.818,
7.7,0.3,-46.3919,
7.8,0.3,-46.9659,
7.9,0.3,-47.5399,
8,0.3,-48.1138,
8.1,0.3,-48.6878,
8.2,0.3,-49.2618,
8.3,0.3,-49.8357,
8.4,0.3,-50.4097,
8.5,0.3,-50.9837,
8.6,0.3,-51.5577,
8.7,0.3,-52.1316,
8.8,0.3,-52.7056,
8.9,0.3,-53.2796,
9,0.3,-53.8535,
9.1,0.3,-54.4275,
9.2,0.3,-55.0015,
9.3,0.3,-55.5754,
9.4,0.3,-56.1494,
9.5,0.3,-56.7234,
9.6,0.3,-57.2973,
9.7,0.3,-57.8713,
9.8,0.3,-58.4453,
9.9,0.3,-59.0192,
10,0.3,-59.5932,
10.1,0.3,-60.1672,
10.2,0.3,-60.7411,
10.3,0.3,-61.3151,
10.4,0.3,-61.8891,
10.5,0.3,-62.463,
10.6,0.3,-63.037,
10.7,0.3,-63.611,
10.8,0.3,-64.1849,
10.9,0.3,-64.7589,
11,0.3,-65.3329,
11.1,0.3,-65.9068,
11.2,0.3,-66.4808,
11.3,0.3,-67.0548,
11.4,0.3,-67.6287,
11.5,0.3,-68.2027,
11.6,0.3,-68.7767,
11.7,0.3,-69.3506,
11.8,0.3,-69.9246,
11.9,0.3,-70.4986,
12,0.3,-71.0725,
4.9,0.35,-34.0096,
5,0.35,-34.5835,
5.1,0.35,-35.1575,
5.2,0.35,-35.7315,
5.3,0.35,-36.3054,
5.4,0.35,-36.8794,
5.5,0.35,-37.4534,
5.6,0.35,-38.0273,
5.7,0.35,-38.6013,
5.8,0.35,-39.1753,
5.9,0.35,-39.7492,
6,0.35,-40.3232,
6.1,0.35,-40.8972,
6.2,0.35,-41.4711,
6.3,0.35,-42.0451,
6.4,0.35,-42.6191,
6.5,0.35,-43.193,
6.6,0.35,-43.767,
6.7,0.35,-44.341,
6.8,0.35,-44.9149,
6.9,0.35,-45.4889,
7,0.35,-46.0629,
7.1,0.35,-46.6368,
7.2,0.35,-47.2108,
7.3,0.35,-47.7848,
7.4,0.35,-48.3587,
7.5,0.35,-48.9327,
7.6,0.35,-49.5067,
7.7,0.35,-50.0806,
7.8,0.35,-50.6546,
7.9,0.35,-51.2286,
8,0.35,-51.8025,
8.1,0.35,-52.3765,
8.2,0.35,-52.9505,
8.3,0.35,-53.5244,
8.4,0.35,-54.0984,
8.5,0.35,-54.6724,
8.6,0.35,-55.2463,
8.7,0.35,-55.8203,
8.8,0.35,-56.3943,
8.9,0.35,-56.9683,
9,0.35,-57.5422,
9.1,0.35,-58.1162,
9.2,0.35,-58.6902,
